Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,Exchange negative,Simapro name,Notes,Pedigree Reliability,Pedigree Completeness,Pedigree Temporal correlation,Pedigree geographical correlation,Further technological correlation
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,PS pilot (base),"Crude extract, biorefinery",5.0,liter,production,,,,,,,,,,,
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,PS pilot,"Seaweed, offshore farm",10.0,kilogram,technosphere,2.0,2.302585092994046,0.7364005252542294,False,,,1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,ecoinvent 3.8_conseq,8da1e8e4332727e6ac6f067b047bb1ac,0.148,kilogram,technosphere,2.0,-1.9105430052180221,0.7364005252542294,False,"Hydrochloric acid, without water, in 30% solution state {RER}| market for | Conseq, U","market for hydrochloric acid, without water, in 30% solution state' (kilogram, RER, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,ecoinvent 3.8_conseq,7df754d1c99b055bf9ebece460a06f9a,0.336,kilogram,technosphere,2.0,-1.0906441190189327,0.7364005252542294,False,"Sodium bicarbonate {GLO}| market for sodium bicarbonate | Conseq, U","market for sodium bicarbonate' (kilogram, GLO, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,ecoinvent 3.8_conseq,ada58167a614ae6d084e8d88913414e0,40.0,kilogram,technosphere,2.0,3.6888794541139363,0.7364005252542294,False,"Tap water {GLO}| market group for | Conseq, U","market group for tap water' (kilogram, GLO, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,ecoinvent 3.8_conseq,a26f5a54b40905bd7a8911bafa8d6b66,5.123,kilowatt hour,technosphere,2.0,1.6337402049570653,0.7364005252542294,False,"Electricity, low voltage {NO}| market for | Conseq, U","market for electricity, low voltage' (kilowatt hour, NO, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,ecoinvent 3.8_conseq,b409ec97832050bf1436e975946cf4ff,0.04,cubic meter,technosphere,2.0,-3.2188758248682006,0.7364005252542294,False,"Wastewater, average {Europe without Switzerland}| market for wastewater, average | Conseq, U",check,1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Crude extract, biorefinery","Crude extract, biorefinery",liter,process,ecoinvent 3.8_conseq,b409ec97832050bf1436e975946cf4ff,0.02,cubic meter,technosphere,2.0,-3.912023005428146,0.7364005252542294,False,"Wastewater, average {Europe without Switzerland}| market for wastewater, average | Conseq, U",check,1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Bioplastic, crosslinking","Bioplastic, crosslinking",kilogram,process,PS pilot (base),"Bioplastic, crosslinking",3.75,kilogram,production,,,,,,,,,,,
PS pilot (base),"Bioplastic, crosslinking","Bioplastic, crosslinking",kilogram,process,PS pilot (base),"Crude extract, biorefinery",1.223,liters,technosphere,2.0,0.20130685670503537,0.7364005252542294,False,,,1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Bioplastic, crosslinking","Bioplastic, crosslinking",kilogram,process,ecoinvent 3.8_conseq,a26f5a54b40905bd7a8911bafa8d6b66,18.0,kilowatt hour,technosphere,2.0,2.8903717578961645,0.7364005252542294,False,"Electricity, low voltage {NO}| market for | Conseq, U","market for electricity, low voltage' (kilowatt hour, NO, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Bioplastic, crosslinking","Bioplastic, crosslinking",kilogram,process,ecoinvent 3.8_conseq,049320f512ff7d495d137a1643c792e8,0.109,kilogram,technosphere,2.0,-2.2164073967529934,0.7364005252542294,False,"Cellulose fibre, inclusive blowing in {GLO}| market for | Conseq, U","market for cellulose fibre' (kilogram, CH, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),"Bioplastic, crosslinking","Bioplastic, crosslinking",kilogram,process,ecoinvent 3.8_conseq,3885b1d1e05cc5605b8ec9175f763586,2.432,kilogram,technosphere,2.0,0.8887139641039206,0.7364005252542294,False,"Glycerine {RER}| market for glycerine | Conseq, U","market for glycerine' (kilogram, RER, None)",1.0,1.08,1.0,1.0,2.08
PS pilot (base),Use and biowaste,Use and biowaste,kilogram,process,PS pilot (base),Use and biowaste,1.0,kilogram,production,,,,,,,,,,,
PS pilot (base),Use and biowaste,Use and biowaste,kilogram,process,PS pilot (base),"Bioplastic, crosslinking",1.0,kilogram,technosphere,,,,,,,,,,,
PS pilot (base),Use and biowaste,Use and biowaste,kilogram,process,PS pilot (base),"Treatment, biowaste",1.0,kilogram,technosphere,,,,,,,,,,,
