Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,Exchange negative,Simapro name,Notes,Pedigree Reliability,Pedigree Completeness,Pedigree Temporal correlation,Pedigree geographical correlation,Further technological correlation
PS pilot,Nutrients,Nutrients,liter,process,PS pilot,Nutrients,1.0,liter,production,,,,,,,,,,,
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,0e1ca7c50134d9d3aa2f420ee840fee3,0.00385,kilogram,technosphere,2.0,-5.559682130682444,0.0769610411361284,False,"Sodium nitrate {GLO}| market for | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,649c82cccc172e113517042ee36f369a,5.096e-05,kilogram,technosphere,2.0,-9.884469546700366,0.0769610411361284,False,"EDTA, ethylenediaminetetraacetic acid {GLO}| market for | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,19318e90f31d3d67dac4621a1a6164fc,0.0007,kilogram,technosphere,2.0,-7.264430222920869,0.0769610411361284,False,"Ammonium sulfate, as N {GLO}| market for | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,b22336155ceff499ba9fa61c7cc38832,4.48e-05,kilogram,technosphere,2.0,-10.013302418543335,0.0769610411361284,False,"Boric acid, anhydrous, powder {GLO}| market for | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,63e4bf97ac1960a51fd62fe58db1ebf2,4.8e-06,kilogram,technosphere,2.0,-12.24689464005043,0.0769610411361284,False,"Manganese sulfate {GLO}| market for | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,3f548052e03b03e92ef14722e6340ee0,8.8e-07,kilogram,technosphere,2.0,-13.943343929474159,0.0769610411361284,False,"Zinc monosulfate {RER}| market for zinc monosulfate | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,Nutrients,Nutrients,liter,process,ecoinvent 3.8_conseq,b3cbd051ea6d4cf58005c19765ac1408,1.0,kilogram,technosphere,2.0,0.0,0.0769610411361284,False,"Tap water {Europe without Switzerland}| market for | Conseq, U",,1.0,1.08,1.0,1.0,1.0
PS pilot,"Sporelings in ropes, hatchery","Sporelings in ropes, hatchery",kilometer,process,PS pilot,"Sporelings in ropes, hatchery",0.000333,kilometer,production,,,,,,,,,,,
PS pilot,"Sporelings in ropes, hatchery","Sporelings in ropes, hatchery",kilometer,process,PS pilot,Nutrients,0.00253,liter,technosphere,2.0,-5.979535976242708,0.0769610411361284,False,,,1.0,1.08,1.0,1.0,1.0
